account_id,client_id,region,product,collateral_value,loan_amount,margin_requirement_pct,required_collateral,eligible_collateral,exposure,margin_deficit,margin_call_amount,call_date,due_date,status,days_to_due,risk_band
ACC10030,CL1030,US,ETF,214002.22,154405.23,0.65,439900.94,395401.53,0.0,44499.41,44499.41,2026-07-07,2026-07-08,Met,-40,High
ACC10031,CL1031,UK,Fixed Income,478796.83,269981.5,0.6,673270.57,799104.98,0.0,0.0,0.0,2026-08-12,2026-08-13,Met,-4,Low
ACC10032,CL1032,US,ETF,162670.32,151611.08,0.55,336166.47,326787.2,0.0,9379.27,9379.27,2026-08-08,2026-08-09,Overdue,-8,Medium
ACC10033,CL1033,US,Equity,281806.03,254957.61,0.5,508897.43,426262.46,0.0,82634.97,82634.97,2026-07-12,2026-07-14,Met,-34,High
ACC10034,CL1034,Singapore,Equity,562325.67,456086.39,0.5,910352.08,960166.03,0.0,0.0,0.0,2026-07-27,2026-07-29,Met,-19,Low
ACC10035,CL1035,Singapore,Equity,133954.4,96004.22,0.55,212869.67,177904.98,0.0,34964.69,34964.69,2026-08-05,2026-08-08,Met,-9,High
ACC10036,CL1036,Hong Kong,Multi-Asset,615602.08,544798.35,0.7,1809961.3,2085295.59,0.0,0.0,0.0,2026-06-09,2026-06-10,Met,-68,Low
ACC10037,CL1037,US,ETF,435945.12,224653.93,0.55,498124.01,442015.81,0.0,56108.2,56108.2,2026-08-03,2026-08-04,Overdue,-13,High
ACC10038,CL1038,US,Equity,669554.25,565944.01,0.6,1411331.7,1375955.66,0.0,35376.04,35376.04,2026-06-22,2026-06-23,Met,-55,High
ACC10039,CL1039,Hong Kong,ETF,523313.3,268151.18,0.5,535231.9,388196.5,0.0,147035.4,147035.4,2026-07-04,2026-07-05,Open,-43,Critical
ACC10040,CL1040,UK,Multi-Asset,1230714.34,1042544.68,0.55,2311629.0,2110657.41,0.0,200971.59,200971.59,2026-07-25,2026-07-26,Met,-22,Critical
ACC10041,CL1041,US,Equity,485977.87,285698.51,0.6,712465.11,795240.57,0.0,0.0,0.0,2026-06-29,2026-07-02,Met,-46,Low
ACC10042,CL1042,UK,ETF,320598.82,284866.57,0.6,710390.45,783435.92,0.0,0.0,0.0,2026-07-08,2026-07-10,Met,-38,Low
ACC10043,CL1043,US,ETF,484912.2,447099.25,0.55,991350.89,805134.82,0.0,186216.07,186216.07,2026-06-18,2026-06-19,Overdue,-59,Critical
ACC10044,CL1044,Singapore,ETF,664954.25,348700.67,0.5,696009.32,565883.09,0.0,130126.23,130126.23,2026-08-10,2026-08-12,Met,-5,Critical
ACC10045,CL1045,US,Equity,458926.37,312683.88,0.6,779760.3,864483.33,0.0,0.0,0.0,2026-08-04,2026-08-05,Met,-12,Low
ACC10046,CL1046,Hong Kong,Multi-Asset,456089.24,428949.05,0.55,951106.54,1108228.59,0.0,0.0,0.0,2026-06-01,2026-06-02,Met,-76,Low
ACC10047,CL1047,US,Multi-Asset,261321.37,180756.96,0.55,400791.49,299663.97,0.0,101127.52,101127.52,2026-06-04,2026-06-06,Overdue,-72,Critical
ACC10048,CL1048,UK,ETF,269096.23,237281.99,0.7,788312.26,729211.95,0.0,59100.31,59100.31,2026-06-04,2026-06-05,Met,-73,High
ACC10049,CL1049,UK,Fixed Income,154514.94,115015.63,0.6,286822.02,249170.07,0.0,37651.95,37651.95,2026-06-27,2026-06-30,Overdue,-48,High
ACC10050,CL1050,US,Multi-Asset,1643243.45,1047838.76,0.6,2613064.24,2966727.4,0.0,0.0,0.0,2026-07-13,2026-07-15,Met,-33,Low
ACC10051,CL1051,Singapore,Fixed Income,174050.81,103193.29,0.6,257339.88,190885.06,0.0,66454.82,66454.82,2026-07-29,2026-07-30,Met,-18,High
ACC10052,CL1052,Hong Kong,Equity,263108.32,145133.59,0.6,361929.15,291556.72,0.0,70372.43,70372.43,2026-07-02,2026-07-04,Overdue,-44,High
ACC10053,CL1053,Singapore,ETF,258123.79,214474.82,0.6,534849.93,575623.77,0.0,0.0,0.0,2026-07-03,2026-07-04,Met,-44,Low
ACC10054,CL1054,Singapore,ETF,865613.07,556823.14,0.65,1586390.71,1151159.54,0.0,435231.17,435231.17,2026-06-28,2026-06-29,Met,-49,Critical
ACC10055,CL1055,UK,Equity,354614.92,250229.67,0.65,712905.04,674599.01,0.0,38306.03,38306.03,2026-07-25,2026-07-26,Disputed,-22,High
ACC10056,CL1056,Singapore,Fixed Income,1127830.64,785153.67,0.55,1740917.23,1603477.94,0.0,137439.29,137439.29,2026-07-30,2026-07-31,Met,-17,Critical
ACC10057,CL1057,US,Multi-Asset,266967.45,197192.71,0.6,491752.39,426447.96,0.0,65304.43,65304.43,2026-08-09,2026-08-11,Met,-6,High
ACC10058,CL1058,US,Multi-Asset,545384.11,481458.86,0.6,1200645.54,1077322.62,0.0,123322.92,123322.92,2026-08-01,2026-08-02,Open,-15,Critical
ACC10059,CL1059,US,ETF,236449.45,222349.89,0.7,738703.95,712827.37,0.0,25876.58,25876.58,2026-07-04,2026-07-06,Met,-42,High
ACC10060,CL1060,US,Equity,2210793.03,1445399.03,0.65,4117945.95,3214813.19,0.0,903132.76,903132.76,2026-07-26,2026-07-28,Met,-20,Critical
ACC10061,CL1061,UK,Multi-Asset,181552.69,156817.85,0.6,391066.96,385591.22,0.0,5475.74,5475.74,2026-06-13,2026-06-14,Disputed,-64,Medium
ACC10062,CL1062,US,Fixed Income,558140.24,464519.97,0.5,927185.57,1022422.52,0.0,0.0,0.0,2026-07-26,2026-07-28,Met,-20,Low
ACC10063,CL1063,Hong Kong,Equity,711643.71,524313.8,0.6,1307515.71,1412222.18,0.0,0.0,0.0,2026-06-18,2026-06-19,Met,-59,Low
ACC10064,CL1064,US,Multi-Asset,603408.28,559977.11,0.5,1117718.78,868411.55,0.0,249307.23,249307.23,2026-07-24,2026-07-25,Disputed,-23,Critical
ACC10065,CL1065,US,Multi-Asset,385013.72,211848.89,0.6,528301.47,409235.39,0.0,119066.08,119066.08,2026-07-13,2026-07-14,Met,-34,Critical
ACC10066,CL1066,UK,ETF,401368.19,202543.27,0.55,449098.16,374587.02,0.0,74511.14,74511.14,2026-07-09,2026-07-10,Disputed,-38,High
ACC10067,CL1067,US,ETF,457191.95,400948.65,0.65,1142303.85,1005841.22,0.0,136462.63,136462.63,2026-07-31,2026-08-01,Open,-16,Critical
ACC10068,CL1068,Hong Kong,Equity,396229.35,265305.23,0.55,588259.93,531920.98,0.0,56338.95,56338.95,2026-07-12,2026-07-14,Met,-34,High
ACC10069,CL1069,US,Equity,911556.94,796230.79,0.6,1985612.94,2064736.85,0.0,0.0,0.0,2026-06-18,2026-06-19,Met,-59,Low
ACC10070,CL1070,Singapore,Equity,2321890.43,2081679.49,0.7,6915878.7,5037112.59,0.0,1878766.11,1878766.11,2026-06-23,2026-06-24,Overdue,-54,Critical
ACC10071,CL1071,Hong Kong,Fixed Income,291233.65,140150.02,0.55,310753.92,222915.08,0.0,87838.84,87838.84,2026-07-24,2026-07-27,Open,-21,High
ACC10072,CL1072,US,Equity,158363.41,141217.78,0.6,352164.04,315523.23,0.0,36640.81,36640.81,2026-06-30,2026-07-02,Disputed,-46,High
ACC10073,CL1073,US,Equity,414069.23,279148.72,0.6,696131.47,729950.82,0.0,0.0,0.0,2026-07-28,2026-07-30,Met,-18,Low
ACC10074,CL1074,Hong Kong,Equity,3062622.1,2159810.86,0.5,4310999.72,3434649.66,0.0,876350.06,876350.06,2026-08-07,2026-08-08,Met,-9,Critical
ACC10075,CL1075,Hong Kong,ETF,242133.4,184819.52,0.65,526551.34,537478.46,0.0,0.0,0.0,2026-08-06,2026-08-08,Met,-9,Low
ACC10076,CL1076,Hong Kong,Multi-Asset,1512595.49,1381289.05,0.5,2757063.97,2288126.18,0.0,468937.79,468937.79,2026-08-10,2026-08-12,Open,-5,Critical
ACC10077,CL1077,Hong Kong,Equity,1557006.48,715534.86,0.6,1784376.21,2039618.83,0.0,0.0,0.0,2026-06-18,2026-06-20,Met,-58,Low
ACC10078,CL1078,US,Equity,292087.54,201079.41,0.6,501444.91,575581.02,0.0,0.0,0.0,2026-06-07,2026-06-09,Met,-69,Low
ACC10079,CL1079,US,Fixed Income,677887.96,538148.83,0.65,1533187.55,1301129.81,0.0,232057.74,232057.74,2026-07-10,2026-07-11,Met,-37,Critical
ACC10080,CL1080,US,ETF,1500482.78,1217421.92,0.65,3468438.52,2826766.56,0.0,641671.96,641671.96,2026-08-09,2026-08-10,Met,-7,Critical
ACC10081,CL1081,Singapore,Equity,332918.9,265092.07,0.55,587787.29,532330.73,0.0,55456.56,55456.56,2026-08-04,2026-08-05,Met,-12,High
ACC10082,CL1082,UK,ETF,379767.59,196422.47,0.5,392060.82,321594.08,0.0,70466.74,70466.74,2026-08-07,2026-08-08,Disputed,-9,High
ACC10083,CL1083,US,Equity,285997.78,171512.24,0.65,488638.86,506323.64,0.0,0.0,0.0,2026-07-19,2026-07-21,Met,-27,Low
ACC10084,CL1084,US,Equity,206681.13,130076.37,0.6,324379.98,361045.41,0.0,0.0,0.0,2026-07-22,2026-07-23,Met,-25,Low
ACC10085,CL1085,US,ETF,271859.82,231684.0,0.65,660068.38,684191.28,0.0,0.0,0.0,2026-06-29,2026-07-02,Met,-46,Low
ACC10086,CL1086,US,Equity,176671.05,104126.37,0.65,296656.32,329933.81,0.0,0.0,0.0,2026-06-21,2026-06-24,Met,-54,Low
ACC10087,CL1087,Hong Kong,Multi-Asset,453868.42,252056.95,0.65,718110.97,645219.89,0.0,72891.08,72891.08,2026-06-09,2026-06-10,Overdue,-68,High
ACC10088,CL1088,UK,Equity,248331.56,230631.48,0.6,575140.85,447550.73,0.0,127590.12,127590.12,2026-07-17,2026-07-18,Overdue,-30,Critical
ACC10089,CL1089,Singapore,ETF,527202.2,239577.36,0.6,597449.78,638659.16,0.0,0.0,0.0,2026-08-15,2026-08-17,Met,0,Low
ACC10090,CL1090,UK,ETF,137733.82,130697.06,0.65,372356.3,327761.89,0.0,44594.41,44594.41,2026-07-12,2026-07-15,Open,-33,High
ACC10091,CL1091,US,Equity,567025.85,447049.22,0.6,1114835.96,1154563.6,0.0,0.0,0.0,2026-07-21,2026-07-22,Met,-26,Low
ACC10092,CL1092,Hong Kong,Fixed Income,826658.31,714426.75,0.55,1584094.79,1323229.18,0.0,260865.61,260865.61,2026-07-26,2026-07-27,Met,-21,Critical
ACC10093,CL1093,Hong Kong,Equity,99180.66,59241.57,0.65,168779.4,125000.52,0.0,43778.88,43778.88,2026-07-21,2026-07-22,Met,-26,High
ACC10094,CL1094,UK,Multi-Asset,585687.96,267751.72,0.7,889540.6,1064149.32,0.0,0.0,0.0,2026-08-09,2026-08-11,Met,-6,Low
ACC10095,CL1095,Hong Kong,Equity,1110978.53,909818.94,0.6,2268875.16,1765413.47,0.0,503461.69,503461.69,2026-06-20,2026-06-21,Met,-57,Critical
ACC10096,CL1096,UK,Equity,178575.94,154838.25,0.5,309058.38,369080.76,0.0,0.0,0.0,2026-06-27,2026-06-29,Met,-49,Low
ACC10097,CL1097,UK,Equity,1551029.23,1272213.22,0.6,3172601.55,3771081.0,0.0,0.0,0.0,2026-07-08,2026-07-09,Met,-39,Low
ACC10098,CL1098,UK,Multi-Asset,605775.21,315866.43,0.65,899904.36,987113.24,0.0,0.0,0.0,2026-08-11,2026-08-12,Met,-5,Low
ACC10099,CL1099,US,ETF,260730.11,215549.22,0.7,716110.37,737387.07,0.0,0.0,0.0,2026-08-04,2026-08-05,Met,-12,Low
ACC10100,CL1100,US,ETF,424290.31,354053.88,0.55,785041.86,776330.66,0.0,8711.2,8711.2,2026-07-24,2026-07-25,Met,-23,Medium
ACC10101,CL1101,US,Equity,672491.79,524052.85,0.5,1046013.67,1185186.6,0.0,0.0,0.0,2026-06-24,2026-06-25,Met,-53,Low
ACC10102,CL1102,UK,Fixed Income,468365.4,390175.53,0.7,1296264.22,1094980.0,0.0,201284.22,201284.22,2026-07-17,2026-07-18,Overdue,-30,Critical
ACC10103,CL1103,US,Equity,662692.92,578504.89,0.6,1442655.59,1347210.37,0.0,95445.22,95445.22,2026-08-10,2026-08-11,Open,-6,High
ACC10104,CL1104,UK,Multi-Asset,221791.89,167852.56,0.6,418584.94,422643.11,0.0,0.0,0.0,2026-08-02,2026-08-03,Met,-14,Low
ACC10105,CL1105,Singapore,Equity,502334.05,248304.9,0.7,824933.22,747055.6,0.0,77877.62,77877.62,2026-07-27,2026-07-28,Met,-20,High
ACC10106,CL1106,US,Equity,153232.88,106315.1,0.5,212205.79,193901.6,0.0,18304.19,18304.19,2026-07-25,2026-07-28,Met,-20,Medium
ACC10107,CL1107,UK,Equity,407004.88,198954.03,0.65,566820.6,490380.5,0.0,76440.1,76440.1,2026-07-30,2026-07-31,Met,-17,High
ACC10108,CL1108,Hong Kong,ETF,224598.42,146836.05,0.5,293085.93,287844.35,0.0,5241.58,5241.58,2026-08-01,2026-08-02,Met,-15,Medium
ACC10109,CL1109,US,ETF,254830.15,166545.07,0.6,415324.36,467359.21,0.0,0.0,0.0,2026-06-30,2026-07-02,Met,-46,Low
ACC10110,CL1110,US,Equity,1118020.07,540009.2,0.65,1538487.75,1231965.9,0.0,306521.85,306521.85,2026-06-22,2026-06-25,Disputed,-53,Critical
ACC10111,CL1111,US,Fixed Income,1002976.45,626268.79,0.6,1561767.56,1822920.9,0.0,0.0,0.0,2026-08-14,2026-08-15,Met,-2,Low
ACC10112,CL1112,US,ETF,698613.96,353148.69,0.7,1173251.46,1225512.57,0.0,0.0,0.0,2026-06-29,2026-07-01,Met,-47,Low
ACC10113,CL1113,Singapore,ETF,195002.06,166554.69,0.6,415348.35,461716.43,0.0,0.0,0.0,2026-07-11,2026-07-13,Met,-35,Low
ACC10114,CL1114,Hong Kong,Equity,348953.4,322378.51,0.6,803936.43,786326.48,0.0,17609.95,17609.95,2026-07-12,2026-07-14,Open,-34,Medium
ACC10115,CL1115,UK,Equity,1098903.34,534240.91,0.55,1184569.65,1290894.67,0.0,0.0,0.0,2026-08-04,2026-08-05,Met,-12,Low
ACC10116,CL1116,Singapore,ETF,492026.42,456382.85,0.6,1138111.85,805897.23,0.0,332214.62,332214.62,2026-07-01,2026-07-03,Overdue,-45,Critical
ACC10117,CL1117,Hong Kong,Equity,2519313.89,1791958.49,0.6,4468724.41,4956665.38,0.0,0.0,0.0,2026-06-30,2026-07-01,Met,-47,Low
ACC10118,CL1118,US,Equity,594210.18,356397.07,0.5,711371.4,512236.8,0.0,199134.6,199134.6,2026-06-18,2026-06-20,Open,-58,Critical
ACC10119,CL1119,Singapore,Multi-Asset,510955.02,249566.29,0.6,622359.83,712575.05,0.0,0.0,0.0,2026-06-17,2026-06-19,Met,-59,Low
ACC10120,CL1120,UK,Multi-Asset,350867.05,245716.45,0.6,612759.23,732848.63,0.0,0.0,0.0,2026-07-08,2026-07-09,Met,-39,Low
ACC10121,CL1121,Hong Kong,Equity,489018.54,414324.76,0.65,1180412.42,999849.14,0.0,180563.28,180563.28,2026-06-14,2026-06-16,Met,-62,Critical
ACC10122,CL1122,Singapore,Equity,394607.79,317084.42,0.65,903374.42,727360.3,0.0,176014.12,176014.12,2026-07-26,2026-07-27,Met,-21,Critical
ACC10123,CL1123,US,ETF,752443.74,357495.81,0.65,1018506.58,1102718.42,0.0,0.0,0.0,2026-06-22,2026-06-24,Met,-54,Low
ACC10124,CL1124,US,Equity,906663.57,441047.33,0.5,880333.99,727607.64,0.0,152726.35,152726.35,2026-08-06,2026-08-07,Overdue,-10,Critical
ACC10125,CL1125,US,Equity,245366.41,159840.67,0.55,354413.9,401473.4,0.0,0.0,0.0,2026-07-26,2026-07-27,Met,-21,Low
ACC10126,CL1126,UK,Equity,163011.38,97422.98,0.65,277558.35,208563.26,0.0,68995.09,68995.09,2026-06-19,2026-06-20,Overdue,-58,High
ACC10127,CL1127,Hong Kong,Fixed Income,111618.93,63197.76,0.6,157600.4,120245.57,0.0,37354.83,37354.83,2026-07-27,2026-07-30,Met,-18,High
ACC10128,CL1128,Singapore,Fixed Income,647577.33,382395.87,0.5,763265.21,907961.81,0.0,0.0,0.0,2026-07-14,2026-07-15,Met,-33,Low
ACC10129,CL1129,US,Equity,193392.11,164720.06,0.65,469287.92,486613.77,0.0,0.0,0.0,2026-07-05,2026-07-06,Met,-42,Low
ACC10130,CL1130,UK,Equity,88021.12,80505.35,0.65,229359.97,257672.99,0.0,0.0,0.0,2026-06-01,2026-06-02,Met,-76,Low
ACC10131,CL1131,UK,Equity,592101.86,386376.87,0.6,963533.34,830724.42,0.0,132808.92,132808.92,2026-07-22,2026-07-24,Open,-24,Critical
ACC10132,CL1132,US,Fixed Income,2869790.64,2591580.22,0.5,5172814.81,5370632.95,0.0,0.0,0.0,2026-08-09,2026-08-10,Met,-7,Low
ACC10133,CL1133,US,Equity,440403.58,268975.54,0.65,766312.08,764105.8,0.0,2206.28,2206.28,2026-07-07,2026-07-08,Open,-40,Medium
ACC10134,CL1134,US,Equity,829740.33,571042.64,0.6,1424046.48,1426289.44,0.0,0.0,0.0,2026-08-04,2026-08-05,Met,-12,Low
ACC10135,CL1135,Singapore,Fixed Income,470415.68,264850.85,0.65,754560.83,785698.71,0.0,0.0,0.0,2026-07-21,2026-07-22,Met,-26,Low
ACC10136,CL1136,US,Equity,410788.09,316404.61,0.65,901437.64,890331.56,0.0,11106.08,11106.08,2026-06-01,2026-06-02,Open,-76,Medium
ACC10137,CL1137,UK,Fixed Income,881435.72,828100.54,0.65,2359260.8,2157617.57,0.0,201643.23,201643.23,2026-06-21,2026-06-22,Disputed,-56,Critical
ACC10138,CL1138,Hong Kong,Equity,355860.5,267516.9,0.6,667124.44,559024.49,0.0,108099.95,108099.95,2026-07-23,2026-07-25,Open,-23,Critical
ACC10139,CL1139,US,Equity,540659.1,340024.32,0.55,753934.19,817483.8,0.0,0.0,0.0,2026-06-16,2026-06-17,Met,-61,Low
ACC10140,CL1140,Singapore,Equity,563134.26,435814.52,0.65,1241636.81,,0.0,232016.95,232016.95,2026-07-31,2026-08-01,Open,-16,Critical
ACC10141,CL1141,Singapore,Fixed Income,268050.9,137097.4,0.65,390590.88,408627.25,0.0,0.0,0.0,2026-07-24,2026-07-25,Met,-23,Low
ACC10142,CL1142,US,Multi-Asset,931016.02,832635.13,0.65,2372179.86,1937279.61,0.0,434900.25,434900.25,2026-07-10,2026-07-13,Met,-35,Critical
ACC10143,CL1143,UK,Fixed Income,388007.59,272203.61,0.55,603555.68,611199.76,0.0,0.0,0.0,2026-06-26,2026-06-29,Met,-49,Low
ACC10144,CL1144,US,Equity,250995.71,169340.5,0.55,375477.83,403090.14,0.0,0.0,0.0,2026-08-04,2026-08-06,Met,-11,Low
ACC10145,CL1145,US,Fixed Income,661577.48,491507.34,0.7,1632914.75,1321610.89,0.0,311303.86,311303.86,2026-08-13,2026-08-14,Met,-3,Critical
ACC10146,CL1146,US,Equity,225516.59,171932.03,0.65,489834.84,357565.55,0.0,132269.29,132269.29,2026-08-03,2026-08-04,Met,-13,Critical
ACC10147,CL1147,UK,Equity,451863.7,219555.11,0.7,729418.97,558360.65,0.0,171058.32,171058.32,2026-07-13,2026-07-14,Met,-34,Critical
ACC10148,CL1148,UK,Multi-Asset,439397.94,347699.37,0.65,990596.5,993566.79,0.0,0.0,0.0,2026-06-17,2026-06-18,Met,-60,Low
ACC10149,CL1149,US,Equity,998911.71,570344.46,0.6,1422305.39,1599699.87,0.0,0.0,0.0,2026-07-29,2026-07-30,Met,-18,Low
ACC10150,CL1150,US,Equity,631607.65,509692.41,0.65,1452115.13,1049150.87,0.0,402964.26,402964.26,2026-06-23,2026-06-25,Overdue,-53,Critical
ACC10151,CL1151,Singapore,Equity,434186.65,373950.81,0.7,1242361.5,1325693.68,0.0,0.0,0.0,2026-06-07,2026-06-09,Met,-69,Low
ACC10152,CL1152,US,Equity,816943.1,696018.57,0.6,1735707.16,1511209.62,0.0,224497.54,224497.54,2026-07-14,2026-07-16,Overdue,-32,Critical
ACC10153,CL1153,US,Equity,1255011.96,911453.04,0.65,2596732.31,2439017.66,0.0,157714.65,157714.65,2026-07-23,2026-07-24,Met,-24,Critical
ACC10154,CL1154,UK,ETF,672231.28,477341.31,0.55,1058406.45,1232439.98,0.0,0.0,0.0,2026-08-10,2026-08-12,Met,-5,Low
ACC10155,CL1155,Singapore,Equity,445861.87,232489.31,0.6,579773.84,502075.89,0.0,77697.95,77697.95,2026-07-04,2026-07-05,Overdue,-43,High
ACC10156,CL1156,US,Multi-Asset,165400.13,138551.24,0.65,394732.88,368154.91,0.0,26577.97,26577.97,2026-07-16,2026-07-17,Met,-31,High
ACC10157,CL1157,Hong Kong,Fixed Income,199020.83,116567.43,0.55,258464.37,182693.27,0.0,75771.1,75771.1,2026-08-07,2026-08-09,Met,-8,High
ACC10158,CL1158,Hong Kong,Equity,351892.66,245743.43,0.55,544885.65,403650.94,0.0,141234.71,141234.71,2026-06-16,2026-06-17,Met,-61,Critical
ACC10159,CL1159,US,Equity,280089.88,165851.59,0.55,367741.88,304966.79,0.0,62775.09,62775.09,2026-08-10,2026-08-11,Met,-6,High
ACC10160,CL1160,Hong Kong,Equity,384527.86,198767.9,0.55,440727.05,314646.55,0.0,126080.5,126080.5,2026-06-19,2026-06-20,Met,-58,Critical
ACC10161,CL1161,US,ETF,461615.44,353033.72,0.55,782779.87,795059.86,0.0,0.0,0.0,2026-06-02,2026-06-04,Met,-74,Low
ACC10162,CL1162,UK,Equity,658203.59,314072.39,0.6,783222.92,715238.53,0.0,67984.39,67984.39,2026-06-10,2026-06-12,Open,-66,High
ACC10163,CL1163,UK,ETF,419628.85,345909.55,0.7,1149201.16,1119405.36,0.0,29795.8,29795.8,2026-07-20,2026-07-21,Met,-27,High
ACC10164,CL1164,UK,Equity,637223.82,387937.65,0.6,967425.56,761676.97,0.0,205748.59,205748.59,2026-06-12,2026-06-14,Disputed,-64,Critical
ACC10165,CL1165,US,ETF,464332.33,208980.82,0.55,463372.11,392923.8,0.0,70448.31,70448.31,2026-08-09,2026-08-10,Met,-7,High
ACC10166,CL1166,Hong Kong,Equity,100548.96,70943.78,0.5,141604.35,146123.26,0.0,0.0,0.0,2026-06-22,2026-06-23,Met,-55,Low
ACC10167,CL1167,US,Equity,218709.24,103542.63,0.65,294993.25,348874.17,0.0,0.0,0.0,2026-07-02,2026-07-04,Met,-44,Low
ACC10168,CL1168,US,Multi-Asset,397096.39,233526.34,0.6,582359.95,422332.32,0.0,160027.63,160027.63,2026-06-01,2026-06-03,Met,-75,Critical
ACC10169,CL1169,US,Fixed Income,178568.75,143477.89,0.65,408768.92,468118.96,0.0,0.0,0.0,2026-07-24,2026-07-27,Met,-21,Low
ACC10170,CL1170,UK,Equity,693805.23,333959.55,0.65,951451.71,940453.5,0.0,10998.21,10998.21,2026-07-28,2026-07-29,Met,-19,Medium
